feature-id	tissue_mean	tissue_std	tissue_rank	survival_mean	survival_std	survival_rank	inter_mean	inter_std	inter_rank
Blau-2eedf89	0.08415633505171166	0.5027747090011855	181.0	2.313367473544964	3.4846470608588502	265.0	0.00183475012876416	0.7041177464880534	157.0
Fuso-e47b7c5	2.336109949429251	0.601959082606042	336.0	5.813384515886438	2.9063442442077876	334.0	0.011759102326824745	0.9435132129126012	158.0
Stre-101637a	0.8836371910572528	0.8088461926894915	307.0	1.9356357826840023	1.3440181278806769	254.0	0.012205085184400204	1.0302822916514351	159.0
Faec-4516aa6	0.4784336200870035	0.37178813557784995	276.0	-1.4525800770085002	2.044166055222374	102.0	0.0172800205143859	0.47544222696543265	160.0
Lach-93b58b0	0.1709521701354962	0.5448014904301827	203.0	1.3684969516331598	4.710236382848143	224.0	0.021333970976962633	0.6737319024908256	161.0
Akke-db466f8	0.42091323333623226	0.8921487025186754	264.0	2.195534324845855	2.069443755154307	262.0	0.02658593587274237	1.4669330564442062	162.0
Lach-7c76f7c	0.4837936442420869	1.0234229052017823	278.0	4.872333147582345	3.246200347665286	329.0	0.035022416829122285	1.607787848981444	163.0
Anae-b63160c	0.10244941569783886	0.8037156025352459	188.0	-6.0009295414711525	2.104581587492254	7.0	0.035855794762623815	1.184240959198203	164.0
Rumi-c6fb203	-0.6053106220035879	0.9458297838461761	48.0	-2.018657830104187	4.453543853507824	84.0	0.038658471766507774	1.5435769258198797	165.0
Para-0eebf22	-0.04797855161089271	0.7401088556515625	151.0	2.4159447128542326	3.79429962868654	272.0	0.04034162851408021	1.0671968201753739	166.0
Lach-02e1e97	0.449455047118219	0.4648529125964267	269.0	1.6526047562288695	2.353450970990675	239.0	0.04641245995617422	0.7256984940800769	167.0
Camp-5b14d87	2.0616829231828775	0.48542453073455194	333.0	-0.6559911376326264	3.19348185047529	137.0	0.04669231800256478	0.7835998079047845	168.0
Bifi-d1d2824	0.7111735737475231	0.9584342760871958	298.0	-7.7191221738227265	2.26187477112833	1.0	0.04736017361307316	1.2784480304557968	169.0
Odor-3a71e9a	0.5369653917851853	0.5138480561727127	282.0	-3.7451943604499403	3.7478818314671503	32.0	0.05914476975182137	0.9081048082916939	170.0
Pept-f148c98	-0.07905403877861977	0.6436778612961794	140.0	0.9876931218960912	2.9649011184415666	207.0	0.06985881305094355	0.9097198925925994	171.0
Cori-63ae69e	0.13180807141816137	0.4967923153223162	193.0	-0.6065533889579747	2.5155635895125994	138.0	0.07507382457092586	0.8440358112535512	172.0
Rose-7b6d335	0.3374566204518294	0.5104653438492512	244.0	-0.1263467335264113	3.710157590695799	160.0	0.09104097916882088	0.7469684785377777	173.0
Anae-4f9106b	-0.5267666788974686	0.8798396572780544	54.0	3.664151734059586	2.995089321232278	300.0	0.09245849334797579	0.9831464687494422	174.0
Lach-20a4ef0	0.19575207996314276	0.4420847488858302	214.0	-0.34998992869482604	3.7679638823498776	150.0	0.0927472302371508	0.5110681282084764	175.0
Clos-e4cd8e0	-0.25928292393466884	0.8561687685784519	102.0	0.4455785093319348	4.060761519765551	186.0	0.09482170608375438	1.1304635069931563	176.0
Lach-5eb6a4e	0.3229804716579299	0.6440868087859463	238.0	-0.016328663155855707	3.721112718484455	168.0	0.0962798643843673	1.0514040324972846	177.0
Hung-82c448c	1.3787762755607904	1.1484292569004269	325.0	-4.334064196325992	3.400530635856123	24.0	0.09951727533762604	1.3615293825279293	178.0
Rumi-d4b9487	0.14005233644277726	0.43432457653328027	195.0	-2.6989513701237624	2.4626122164597337	52.0	0.11610602757063392	0.6584470471872477	179.0
Para-4d6fe68	-0.25197291046439363	0.48164086196678246	103.0	1.9639324133859186	3.3061691635285135	257.0	0.11815788409054558	0.7068336222075967	180.0
Stre-d3829c5	1.4130533623216461	1.037525193619609	328.0	-0.2497174461308042	3.3167673740700447	157.0	0.118969875110891	1.1789668660478976	181.0
Dial-63719d6	0.6096879506786893	0.6700934556439508	289.0	-0.5147418274286695	2.1418388181950734	141.0	0.13445553272861668	0.8380071190290896	182.0
Osci-09ad3f0	0.6306689011820747	0.44345329191724736	293.0	-4.085690581867235	3.553420815229552	26.0	0.13710974062845013	0.7808523991436132	183.0
Akke-df5c1ef	0.6687973186886325	0.9447577459036866	296.0	0.4866136779508562	4.687818209285005	190.0	0.13739837770240435	1.4971616951030031	184.0
Clos-158d888	0.17523416916296297	0.4388655237178968	204.0	1.0815107127249668	1.7252924829227632	210.0	0.1411969014131403	0.7749347679785523	185.0
Fami-9a848bf	-0.1250738105524391	0.6928607815732842	128.0	1.5467934747496939	1.528561076600539	234.0	0.14296994475632924	0.9224003652900341	186.0
Anae-7862462	0.21144755176379723	1.085814011127173	220.0	-6.546857546923655	1.7113677977253747	5.0	0.14409149163008156	1.2717135841779894	187.0
Rose-b264ac8	-0.04324707376377065	0.41885907039284004	156.0	3.5590576546283628	2.7184070487532717	299.0	0.14853172150964455	0.7247729136433407	188.0
Para-e5225d9	0.08668452565336994	0.6491552267775862	184.0	-0.5714303366487091	2.2805750555078896	139.0	0.15334541432471144	0.9203034141222202	189.0
Fusi-9df2517	-0.13509204848677825	0.3556367063524924	126.0	-2.8111757152564074	4.158618774958894	51.0	0.15486177275191	0.589330417560398	190.0
Lach-f664a73	0.3331484256814675	0.5646370796254223	243.0	-1.871184365244525	3.51361203018249	92.0	0.15520809342871114	0.8616458161897483	191.0
Lach-06858df	-0.1742638021091047	0.9572711700977908	116.0	3.972318672577863	2.4746358404861537	310.0	0.15903417726335767	1.5844287955738419	192.0
Lach-2555ab8	0.32238284300727105	0.3358746949049033	237.0	1.3883080270680141	2.967114078180528	226.0	0.16163859517088425	0.5607456609593914	193.0
Dore-ad89a9d	-0.1508261531181938	0.3483710744705	122.0	-0.35820945644451024	3.353992438382529	149.0	0.1765648884434562	0.5642381567620871	194.0
Lach-52ba52e	-0.3461849682269138	0.3568581490688342	80.0	-0.36688354442515597	3.2422683462172692	148.0	0.1769178556273735	0.6536999715899061	195.0
Faec-22f4ee9	0.21718630684036594	0.4363245458791734	221.0	4.394602142475769	2.3131240651095526	320.0	0.17742413425987189	0.7037443053805787	196.0
Clos-f2cbb29	-0.35769671347760507	0.6863612127383099	78.0	-0.8397288344777278	3.318102742853239	126.0	0.1776848059169379	0.8528152684227451	197.0
Lach-44a2dbc	-0.5528073186935564	0.9272595030055815	50.0	0.12730454530579813	3.7745319133181496	169.0	0.18511097175392638	1.1690037923595824	198.0
Subd-c6fdf63	-0.2263779969887129	0.2949233390611357	106.0	1.1167597448545985	4.852879631120318	215.0	0.18845587559481491	0.4391334369769005	199.0
Blau-c7d1ed6	-0.19196786249506398	0.5041571851654697	110.0	3.8515339339168144	2.5500392856218435	305.0	0.19569404497171392	0.6392078745696783	200.0
Rumi-08b7366	0.1443380394958645	1.0079281547143437	198.0	1.562674166701283	4.328816355296288	237.0	0.2010280444236833	1.4721349288799603	201.0
Chri-da7125b	-0.0030161846985390286	0.5498107402612231	163.0	0.5245425246821395	1.274305976498849	193.0	0.20422355811777662	0.7332204147505095	202.0
Bact-8255b7e	0.4464263244550367	0.9073498625307256	267.0	-1.2057146595050847	2.6627090272613185	109.0	0.2116038561845111	1.311980837298874	203.0
Bact-70d55ba	0.03527721111249442	0.44147493849988356	172.0	3.7342270155994775	2.8399109760132983	302.0	0.2175121545983868	0.6796476466355211	204.0
Lach-202938f	-0.3078241908002447	0.5894579347437312	90.0	-1.286707548680246	2.4974678113027884	106.0	0.2237966728387284	0.7095323143000908	205.0
Para-8d83490	0.8368881884597151	1.1772228904305657	303.0	-3.2807414007971283	4.46647391205409	40.0	0.22443298118306534	1.5039667970742643	206.0
Lach-7a4b03d	-0.2742689890396546	0.7190875909336125	99.0	-0.10717447399283622	3.894891525332605	162.0	0.232702959668124	2.2332090174899912	207.0
Rumi-4608cf2	-0.07002878200546753	0.4509857302584973	143.0	-0.36967968991483474	3.8908890079743856	146.0	0.2371644786231998	0.7018079739442703	208.0
Epul-3fc4e1b	-0.7891990399675701	0.78517958925816	39.0	1.046213953914576	4.70311227124115	209.0	0.23927951013869392	1.215915411062958	209.0
Chri-9a3da67	0.25907843348897475	0.5067920097531641	228.0	2.3672940785502465	4.648372060568419	270.0	0.2405279240731105	0.6573451619242447	210.0
Fuso-fb12967	0.8364760474027515	0.8972825331426477	302.0	-2.3457544249730935	2.281618120466436	65.0	0.24657420011726935	1.0572698581773063	211.0
Gran-a5b69f1	0.942266680792936	0.7061753708174369	313.0	1.2095286401508105	2.5434731517777047	223.0	0.24937242712964938	0.9976959598951883	212.0
Lach-fb6956e	0.07311864713812255	0.4898989438152516	180.0	1.8148488780336214	1.23518227244604	250.0	0.26249793986892894	0.7644175759103112	213.0
Bilo-0b9d6ae	0.20643729854609397	0.48802337323088424	218.0	5.638234136785364	2.228018152844702	332.0	0.2666190201468006	0.7126921670298214	214.0
Lach-be1fe9b	-0.5164692587677985	0.4944587943046865	55.0	-5.78194321065701	3.3963818380652153	8.0	0.2736162479352613	0.8131212371582707	215.0
Bifi-38b7580	-1.240197264722067	0.6286641930890016	18.0	0.46506789028409884	1.8728426847675075	189.0	0.2762982278879292	0.7263180552840761	216.0
Coll-15e0525	-0.08868341820443255	0.46354512614146004	138.0	2.5437820294873297	2.4296836953105183	276.0	0.2785222032780879	0.5486419128885012	217.0
Lach-1875d4e	-0.05458233249324641	0.39659149193956844	148.0	-0.06833225622966986	4.955115684387803	166.0	0.3078964253111608	0.6238863719343867	218.0
Howa-7b64eba	-0.16910998229660446	0.8470678966546935	118.0	4.734452402020454	3.9319955581748935	325.0	0.30935922667094873	1.198882551504262	219.0
Rumi-2a0cc8c	0.2645094521665902	0.8643926067878069	229.0	0.8652320365994564	2.0934804808082363	205.0	0.3203404286783166	1.2393070083041524	220.0
Rumi-b1f914a	-0.5020772833914733	0.48356470048388667	56.0	-2.191084247966177	3.260488066369769	74.0	0.32177109424762856	0.7319770399220153	221.0
Rumi-eee1408	0.19314501058681582	0.8048714764603861	213.0	2.3184569081979007	4.648136764442837	266.0	0.32600728942060503	1.2932580170907475	222.0
Bact-9243bc9	-0.04610018245672687	0.4591743919461527	155.0	-2.0276007163072785	2.76954475221835	81.0	0.33116320414963957	0.7182467028465213	223.0
Subd-b6a1cfc	-0.11504317342354235	0.2979356874738165	133.0	-0.8621713270614019	3.510651244677483	124.0	0.33581549810535594	0.43261487251452624	224.0
Rumi-bb4cb74	-0.04751644464555098	0.6953919568178695	152.0	3.503144150391832	2.495099125946884	296.0	0.3373087065499851	0.8708180153818551	225.0
Lach-e655845	-0.06291192285426317	0.45306070944751536	144.0	2.270949278952314	5.022298066600387	264.0	0.34523373012217257	0.6364565959540097	226.0
Lach-675d47d	-0.3382304978445332	0.4807198027218803	83.0	0.4598300371590444	3.248897493317517	188.0	0.3453948281461222	0.934556127860443	227.0
Sutt-f684347	-0.3945283000854762	0.6403268313029508	73.0	1.4408255247738873	2.702901505029674	228.0	0.3535780516367271	1.0832220169284947	228.0
Erys-c5be3cb	-0.28379799381432474	0.434886661245507	97.0	2.953658119935155	2.005223547639779	283.0	0.35422364237912096	0.8133338109481546	229.0
Rumi-56490c1	-0.15667725097425228	0.609174207563773	120.0	-0.7714399700789407	3.1669360729388547	131.0	0.36199120696957915	0.8679487860053955	230.0
Alis-224d266	0.23405589477568162	0.4937010045329469	225.0	3.851571924584754	3.288889093510225	306.0	0.3645762730715354	0.6736743791542007	231.0
Fuso-d2f4ba7	1.3686962907814793	1.403990435508399	324.0	0.3954490848075642	3.3755577126585226	182.0	0.3652149673971043	1.7785694878090559	232.0
Bact-ce0837f	-0.3277353295023556	1.2460695145792484	86.0	-4.658535240667143	3.4601193493429694	18.0	0.3732613293228192	1.587687979630732	233.0
Parv-8f3c8cb	-0.04695623918615489	0.6296532537430705	153.0	2.797902076609746	2.910918218089021	280.0	0.378831894026277	0.751834559107545	234.0
